#
 0,                  smart,20,  0.00,  0.00, *                   |                   ,  0.00,  0.00,  0.00,  0.00,  0.01
 0,                  smart,30,  0.00,  0.00, *                   |                   ,  0.00,  0.00,  0.00,  0.00,  0.01
 0,                  smart,40,  0.00,  0.00, *                   |                   ,  0.00,  0.00,  0.00,  0.00,  0.00
 0,                  smart,50,  0.00,  0.00, *                   |                   ,  0.00,  0.00,  0.00,  0.00,  0.00
 0,                   dumb,40,  0.00,  0.00, *                   |                   ,  0.00,  0.00,  0.00,  0.00,  0.01
 0,                   dumb,50,  0.00,  0.00, *                   |                   ,  0.00,  0.00,  0.00,  0.00,  0.00
 0,                   dumb,30,  0.00,  0.00, *                   |                   ,  0.00,  0.00,  0.00,  0.01,  0.01
 0,                   dumb,20,  0.00,  0.00, *-                  |                   ,  0.00,  0.00,  0.00,  0.01,  0.06
#
 1,              baseline,196,  0.26,  0.13, --------  *  -----  |                   ,  0.01,  0.21,  0.26,  0.34,  0.46
