#
 0,                  smart,50,  0.00,  0.00, *                   |                   ,  0.00,  0.00,  0.00,  0.00,  0.01
 0,                  smart,40,  0.00,  0.00, *                   |                   ,  0.00,  0.00,  0.00,  0.00,  0.01
 0,                  smart,20,  0.00,  0.00, *-----              |                   ,  0.00,  0.00,  0.00,  0.01,  0.16
 0,                  smart,30,  0.01,  0.00, *-----              |                   ,  0.00,  0.00,  0.01,  0.01,  0.15
 0,                   dumb,40,  0.01,  0.00, *                   |                   ,  0.00,  0.01,  0.01,  0.01,  0.01
 0,                   dumb,50,  0.01,  0.00, *                   |                   ,  0.00,  0.01,  0.01,  0.01,  0.01
 0,                   dumb,30,  0.01,  0.00, *                   |                   ,  0.00,  0.01,  0.01,  0.01,  0.01
 0,                   dumb,20,  0.01,  0.00, *                   |                   ,  0.01,  0.01,  0.01,  0.01,  0.02
#
 1,              baseline,864,  0.18,  0.27, ------ *         ---|------------------ ,  0.02,  0.16,  0.18,  0.43,  0.98
