#
 0,             smart,30,  0.01,  0.00, *                   |                   ,  0.01,  0.02
 0,             smart,50,  0.01,  0.00, *                   |                   ,  0.01,  0.02
 0,             smart,40,  0.01,  0.00, *                   |                   ,  0.01,  0.02
 0,              dumb,40,  0.01,  0.00, *                   |                   ,  0.01,  0.02
 0,              dumb,30,  0.02,  0.00, *                   |                   ,  0.01,  0.02
 0,              dumb,50,  0.02,  0.00, *                   |                   ,  0.01,  0.02
 0,              dumb,20,  0.02,  0.00, *                   |                   ,  0.01,  0.02
 0,             smart,20,  0.02,  0.00, *                   |                   ,  0.01,  0.02
#
 1,            asIs,2866,  0.06,  0.14,  --  *            --|---------          ,  0.01,  0.37
