#
 0,                  smart,50,  0.25,  0.20,   *                 |                   ,  0.20,  0.20,  0.25,  0.40,  0.40
 0,                  smart,40,  0.26,  0.18,    *                |                   ,  0.20,  0.22,  0.26,  0.40,  0.40
 0,                  smart,30,  0.32,  0.15, --    *             |                   ,  0.20,  0.25,  0.32,  0.40,  0.40
 0,                   dumb,40,  0.32,  0.17, -     *             |                   ,  0.20,  0.23,  0.32,  0.40,  0.40
#
 1,                   dumb,30,  0.40,  0.14, ---       *         |                   ,  0.22,  0.26,  0.40,  0.40,  0.40
 1,                   dumb,20,  0.40,  0.00,   --------*         |                   ,  0.25,  0.40,  0.40,  0.40,  0.40
 1,                  smart,20,  0.40,  0.08,  -----    *         |                   ,  0.23,  0.32,  0.40,  0.40,  0.40
 1,                   dumb,50,  0.40,  0.08,  -----    *         |                   ,  0.23,  0.32,  0.40,  0.40,  0.40
#
 2,             baseline,1599,  0.60,  0.20,                     *                   ,  0.40,  0.40,  0.60,  0.60,  0.60
