#
 0,             smart,20,  0.00,  0.00, *                   |                   ,  0.00,  0.02
 0,             smart,30,  0.00,  0.00, *                   |                   ,  0.00,  0.02
 0,             smart,40,  0.00,  0.00, *                   |                   ,  0.00,  0.00
 0,             smart,50,  0.00,  0.00, *                   |                   ,  0.00,  0.00
#
 1,              dumb,20,  0.02,  0.02, *                   |                   ,  0.00,  0.03
 1,              dumb,40,  0.02,  0.02, *                   |                   ,  0.00,  0.05
 1,              dumb,50,  0.02,  0.03, *                   |                   ,  0.00,  0.05
 1,              dumb,30,  0.03,  0.02,  *                  |                   ,  0.00,  0.05
#
 2,             asIs,192,  0.22,  0.38,   ---   *           |--------           ,  0.00,  1.00
